year,avg_temp_city,avg_temp_global
1796,24.49,8.27
1797,25.18,8.51
1798,24.65,8.67
1799,24.81,8.51
1800,24.85,8.48
1801,24.49,8.59
1802,25.44,8.58
1803,25.22,8.50
1804,25.67,8.84
1805,25.01,8.56
1806,24.87,8.43
1807,24.25,8.28
1808,,7.63
1809,,7.08
1810,,6.92
1811,,6.86
1812,,7.05
1813,24.23,7.74
1814,23.91,7.59
1815,23.79,7.24
1816,23.30,6.94
1817,23.60,6.98
1818,23.94,7.83
1819,23.86,7.37
1820,23.91,7.62
1821,24.40,8.09
1822,24.33,8.19
1823,24.62,7.72
1824,25.10,8.55
1825,24.69,8.39
1826,24.88,8.36
1827,24.67,8.81
1828,24.61,8.17
1829,24.46,7.94
1830,24.39,8.52
1831,24.43,7.64
1832,24.66,7.45
1833,24.46,8.01
1834,24.59,8.15
1835,23.89,7.39
1836,24.12,7.70
1837,24.13,7.38
1838,24.29,7.51
1839,24.24,7.63
1840,24.24,7.80
1841,24.05,7.69
1842,24.22,8.02
1843,23.99,8.17
1844,24.23,7.65
1845,24.46,7.85
1846,24.90,8.55
1847,24.35,8.09
1848,24.35,7.98
1849,24.32,7.98
1850,24.38,7.90
1851,24.45,8.18
1852,24.43,8.10
1853,24.67,8.04
1854,24.73,8.21
1855,24.75,8.11
1856,24.21,8.00
1857,23.87,7.76
1858,24.59,8.10
1859,24.55,8.25
1860,24.41,7.96
1861,24.21,7.85
1862,23.59,7.56
1863,,8.11
1864,,7.98
1865,25.06,8.18
1866,25.00,8.29
1867,24.96,8.44
1868,25.07,8.25
1869,24.92,8.43
1870,24.42,8.20
1871,24.47,8.12
1872,24.48,8.19
1873,24.51,8.35
1874,24.56,8.43
1875,24.64,7.86
1876,24.84,8.08
1877,25.23,8.54
1878,25.15,8.83
1879,24.39,8.17
1880,24.58,8.12
1881,24.76,8.27
1882,24.33,8.13
1883,24.25,7.98
1884,24.35,7.77
1885,24.62,7.92
1886,24.53,7.95
1887,24.31,7.91
1888,24.63,8.09
1889,24.73,8.32
1890,24.46,7.97
1891,24.95,8.02
1892,24.59,8.07
1893,24.38,8.06
1894,24.75,8.16
1895,24.78,8.15
1896,25.12,8.21
1897,25.30,8.29
1898,24.87,8.18
1899,24.74,8.40
1900,25.44,8.50
1901,25.09,8.54
1902,25.06,8.30
1903,24.82,8.22
1904,24.53,8.09
1905,24.92,8.23
1906,25.09,8.38
1907,24.74,7.95
1908,24.66,8.19
1909,24.61,8.18
1910,24.42,8.22
1911,24.76,8.18
1912,25.00,8.17
1913,25.00,8.30
1914,25.02,8.59
1915,25.22,8.59
1916,24.75,8.23
1917,24.46,8.02
1918,24.74,8.13
1919,25.06,8.38
1920,24.99,8.36
1921,24.88,8.57
1922,24.74,8.41
1923,24.84,8.42
1924,24.89,8.51
1925,24.69,8.53
1926,25.14,8.73
1927,25.06,8.52
1928,25.06,8.63
1929,24.87,8.24
1930,24.86,8.63
1931,25.24,8.72
1932,24.68,8.71
1933,24.61,8.34
1934,24.81,8.63
1935,24.93,8.52
1936,24.99,8.55
1937,24.96,8.70
1938,24.91,8.86
1939,24.84,8.76
1940,24.92,8.76
1941,25.55,8.77
1942,25.23,8.73
1943,24.69,8.76
1944,24.92,8.85
1945,25.05,8.58
1946,24.97,8.68
1947,25.02,8.80
1948,25.21,8.75
1949,24.92,8.59
1950,24.85,8.37
1951,25.03,8.63
1952,25.12,8.64
1953,25.18,8.87
1954,24.92,8.56
1955,24.78,8.63
1956,24.73,8.28
1957,25.11,8.73
1958,25.29,8.77
1959,25.24,8.73
1960,25.07,8.58
1961,24.97,8.80
1962,24.90,8.75
1963,25.04,8.86
1964,25.09,8.41
1965,25.04,8.53
1966,25.32,8.60
1967,24.87,8.70
1968,25.00,8.52
1969,25.36,8.60
1970,24.95,8.70
1971,24.74,8.60
1972,25.22,8.50
1973,25.40,8.95
1974,24.94,8.47
1975,24.86,8.74
1976,25.13,8.35
1977,25.20,8.85
1978,25.07,8.69
1979,25.44,8.73
1980,25.45,8.98
1981,25.17,9.17
1982,25.42,8.64
1983,25.59,9.03
1984,25.08,8.69
1985,25.31,8.66
1986,25.51,8.83
1987,25.81,8.99
1988,25.50,9.20
1989,25.20,8.92
1990,25.25,9.23
1991,25.49,9.18
1992,25.16,8.84
1993,25.22,8.87
1994,25.22,9.04
1995,25.44,9.35
1996,25.41,9.04
1997,25.68,9.20
1998,26.01,9.52
1999,25.29,9.29
2000,25.34,9.20
2001,25.53,9.41
2002,25.76,9.57
2003,25.92,9.53
2004,25.25,9.32
2005,25.48,9.70
2006,25.42,9.53
2007,25.46,9.73
2008,25.35,9.43
2009,25.73,9.51
2010,25.71,9.70
2011,25.36,9.52
2012,26.04,9.51
2013,26.61,9.61
